DPA	ILE	SUC	GLN	GLC	GLY	CIT	Pi	GLT	FUM	SER	LYS	PRO	L_ASPARTATE	ASN	L_ALPHA_ALANINE	VAL	STARCH	THR	FRU	TRP	PHE	MET	MAL	TYR	GABA
8.0	6.29241860405e-05	0.000659714988517	0.00483170639214	0.049028499622	3.73230268851e-05	0.00275102160457	0.00241892965121	0.0131821957839	8.7325880804e-06	0.000669316082008	0.000153258094248	6.79401428037e-06	0.000682511823201	0.000931923307439	0.000191582568822	0.00011417504919	0.00534411778691	0.000102082225453	0.0444283209456	4.00039784829e-06	0.000137043166271	1.38680080343e-05	0.00386776135859	7.56182608466e-05	0.00372811724781
13.1	0.000279987107389	0.00247493689812	0.0250976802324	0.163537555245	0.000135280624195	0.00976040845988	0.00856593475814	0.0413406362733	2.61930354358e-05	0.00165689108333	0.000482936301835	1.94900256089e-05	0.00123711263287	0.00137756443101	0.000566817577596	0.000499424702341	0.0126950742856	0.000421050030294	0.143558369546	1.9864559291e-05	0.000710152332972	3.21871436354e-05	0.0138970574818	0.00037970417964	0.0159665506216
18.2	0.000900044519432	0.00747969566893	0.0872451691446	0.459527648789	0.000381455812987	0.0269906397524	0.0234497188696	0.103246657694	6.91757800577e-05	0.0038805745193	0.00120869132329	4.89653113988e-05	0.00224209552839	0.00224678407738	0.00118184608917	0.00155843475247	0.0223895927581	0.00133580430936	0.399485045199	6.84034739586e-05	0.00235303642521	7.00776167689e-05	0.0401782408512	0.00132698997285	0.0495007343395
23.299999999999997	0.00214366212995	0.0181648878419	0.21315507852	1.07848978203	0.000846357908419	0.0590927974614	0.0506149902766	0.209061845523	0.000157389046152	0.00835750440602	0.00245611407267	0.00010654913627	0.00400146907041	0.00385372417226	0.00186715578263	0.00354329767347	0.0304115074316	0.00328448047464	0.943607272958	0.000170571898898	0.00527561113616	0.000141784840967	0.0935084317981	0.00330156475269	0.113559286697
28.4	0.00411645061716	0.0376748009594	0.408105482601	2.23013755442	0.00157995124198	0.109913016447	0.0926938195147	0.367159513273	0.000320610488443	0.0170526983777	0.00435435432442	0.000210298929312	0.00725266378576	0.00692788847984	0.00247144530003	0.00633253500162	0.0335160433695	0.00671805557462	1.98595996414	0.000342414570819	0.00891801395783	0.000278786203961	0.186111433206	0.00635910742255	0.20841970449
33.5	0.00634528414855	0.0644902265991	0.624081391483	3.90557959627	0.00244118520973	0.17165477368	0.1430137178	0.555470631803	0.000555122306396	0.0311189941798	0.00671500779512	0.000361844866592	0.012848553596	0.0121670383274	0.0029057313234	0.00884085285403	0.0308505625609	0.0111593294765	3.55693826754	0.000560053730533	0.0117219167612	0.000513656325678	0.307540848827	0.0094067382377	0.30416546229
38.599999999999994	0.00826175220398	0.0932592393361	0.821170388218	5.88374214436	0.00323272027533	0.233808306265	0.193762639197	0.751573630075	0.000818722123919	0.0503960198456	0.00938421848293	0.000548419032098	0.0221821987072	0.0201559018754	0.00329961272149	0.0101112259662	0.0249270095784	0.0155747786941	5.47477730315	0.000799165314847	0.0129979799785	0.000893100749505	0.432636719724	0.0112510850277	0.370173330533
43.699999999999996	0.00955180540195	0.117153769226	1.00100676664	7.80404434115	0.00380389859826	0.289454157209	0.241078040902	0.948391045991	0.00103775899675	0.0728361321383	0.012460025247	0.000746817598014	0.0380049408207	0.0309941014398	0.00393310973399	0.00985634514416	0.0182427834565	0.0189396748915	7.37695971065	0.00106938461219	0.0130733750114	0.00150431099243	0.53328853587	0.0113755578688	0.392287317037
48.8	0.0101438221615	0.128479710556	1.20152885867	9.10521667211	0.00405227189394	0.333677774551	0.283465239852	1.14632039913	0.00111211882609	0.0919354534373	0.0162303829093	0.000910542790261	0.064300306387	0.0423795963117	0.00535547958993	0.00840638579294	0.0125374973023	0.0203805317904	8.64021560879	0.00141983983823	0.0127362552375	0.00245887260545	0.580418068859	0.0100069596027	0.372495183543
53.9	0.0102825107243	0.124244794613	1.50488507824	9.35519714854	0.00400021952807	0.367024266246	0.323754192107	1.35875226056	0.000998100930793	0.0990340645944	0.0212631409404	0.000989665678465	0.104879941696	0.0490392565181	0.00892433435523	0.00653902773531	0.00855441382758	0.0198172825014	8.7544872985	0.00196444261713	0.0129108117447	0.00384344567365	0.564758424362	0.00799949139206	0.329380279994
59.0	0.0103748796334	0.10770023558	2.10392139852	8.55958655123	0.00376083189337	0.398013184456	0.372605260872	1.63451720495	0.000747386443782	0.0903181954476	0.0291504307886	0.000966759643275	0.166016087197	0.0466255561406	0.0197929957484	0.00479426028135	0.00599349782365	0.0178693940418	7.7174137424	0.00302046093946	0.0145922015807	0.00582584828674	0.500324909978	0.00602799298304	0.281145825937
